Title,description,authors,image,publisher,publishedDate,categories,price
The Alchemist,"""My heart is afraid that it will have to suffer,"" the boy told the alchemist one night as they looked up at the moonless sky."" Tell your heart that the fear of suffering is worse than the suffering itself. And that no heart has ever suffered when it goes in search of its dreams."" Every few decades a book is published that changes the lives of its readers forever. The Alchemist is such a book. With over a million and a half copies sold around the world, The Alchemist has already established itself as a modern classic, universally admired. Paulo Coelho's charming fable, now available in English for the first time, will enchant and inspire an even wider audience of readers for generations to come. The Alchemist is the magical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure as extravagant as any ever found. From his home in Spain he journeys to the markets of Tangiers and across the Egyptian desert to a fateful encounter with the alchemist. The story of the treasures Santiago finds along the way teaches us, as only a few stories have done, about the essential wisdom of listening to our hearts, learning to read the omens strewn along life's path, and, above all, following our dreams.",['Paulo Coelho'],http://books.google.com/books/content?id=pTr44Sx6oWQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Harper Collins,2006-04-25,['Fiction'],14
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,"A popular minister recounts his zealous early life pursuit of the Christian life and his experiences of emptiness and spiritual detachment, tracing his quest to connect with a God he perceived as distant.",['Donald Miller'],http://books.google.com/books/content?id=fNC3fdxYgZMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Thomas Nelson Inc,2012-04,['Biography & Autobiography'],11
Eclipse,"As the love triangle heats up in the third book, Bella must choose between her friendship with Jacob and her romance with Edward -- and her decision could change the fate of vampires and werewolves forever. As Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge, Bella once again finds herself surrounded by danger. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob -- knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella has one more decision to make: life or death. But which is which? It's here! #1 bestselling author Stephenie Meyer makes a triumphant return to the world of Twilight with the highly anticipated companion, Midnight Sun: the iconic love story of Bella and Edward told from the vampire's point of view. ""People do not want to just read Meyer's books; they want to climb inside them and live there."" -- Time ""A literary phenomenon."" -- The New York Times",['Stephenie Meyer'],http://books.google.com/books/content?id=lw99Oii9R90C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Little, Brown Books for Young Readers",2007-08-07,['Young Adult Fiction'],15
Redeeming Love,"NATIONAL BESTSELLER • NOW A MAJOR MOTION PICTURE starring Abigail Cowen, Tom Lewis, Nina Dobrev, with Logan Marshall Green and Eric Dane, special appearance by Famke Janssen. Distributed by Universal Pictures with a screenplay by Francine Rivers and D.J. Caruso. California’s gold country, 1850. A time when men sold their souls for a bag of gold and women sold their bodies for a place to sleep. Angel expects nothing from men but betrayal. Sold into prostitution as a child, she survives by keeping her hatred alive. And what she hates most are the men who use her, leaving her empty and dead inside. Then she meets Michael Hosea, a man who seeks his Father’s heart in everything. Michael obeys God’s call to marry Angel and to love her unconditionally. Slowly, day by day, he defies Angel’s every bitter expectation, until despite her resistance, her frozen heart begins to thaw. But with her unexpected softening comes overwhelming feelings of unworthiness and fear. And so Angel runs. Back to the darkness, away from her husband’s pursuing love, terrified of the truth she no longer can deny: her final healing must come from the One who loves her even more than Michael does . . . the One who will never let her go. A powerful retelling of the story of Gomer and Hosea, Redeeming Love is a life-changing story of God’s unconditional, redemptive, all-consuming love. Includes a six-part reading group guide!",['Francine Rivers'],http://books.google.com/books/content?id=I7eMlFZ-drcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Multnomah,2009-08-04,['Fiction'],20
The Tipping Point: How Little Things Can Make a Big Difference (Wheeler Compass),An introduction to the Tipping Point theory explains how minor changes in ideas and products can increase their popularity and how small adjustments in an individual's immediate environment can alter group behavior.,['Malcolm Gladwell'],http://books.google.com/books/content?id=w6V_PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Wheeler Publishing, Incorporated",2003,['Reference'],11
La Otra historia de los Estados Unidos (Spanish Edition),"This is a new edition of the radical social history of America from Columbus to the present. This powerful and controversial study turns orthodox American history upside down to portray the social turmoil behind the ""march of progress"". Known for its lively, clear prose as well as its scholarly research, A People's History is the only volume to tell America's story from the point of view of - and in the words of - America's women, factory workers, African-Americans, Native Americans, the working poor, and immigrant laborers. As historian Howard Zinn shows, many of America's greatest battles - the fights for fair wage, an eight-hour workday, child-labor laws, health and safety standards, universal suffrage, women's rights, racial equality - were carried out at the grassroots level, against bloody resistance. Covering Christopher Columbus's arrival through the Clinton years A People's History of the United States, which was nominated for the American Book Award in 1981, is an insightful analysis of the most important events in US history.",['Howard Zinn'],http://books.google.com/books/content?id=Y8JcCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Routledge,2015-08-12,['History'],11
A People's History of the United States: 1492 to Present,"This is a new edition of the radical social history of America from Columbus to the present. This powerful and controversial study turns orthodox American history upside down to portray the social turmoil behind the ""march of progress"". Known for its lively, clear prose as well as its scholarly research, A People's History is the only volume to tell America's story from the point of view of - and in the words of - America's women, factory workers, African-Americans, Native Americans, the working poor, and immigrant laborers. As historian Howard Zinn shows, many of America's greatest battles - the fights for fair wage, an eight-hour workday, child-labor laws, health and safety standards, universal suffrage, women's rights, racial equality - were carried out at the grassroots level, against bloody resistance. Covering Christopher Columbus's arrival through the Clinton years A People's History of the United States, which was nominated for the American Book Award in 1981, is an insightful analysis of the most important events in US history.",['Howard Zinn'],http://books.google.com/books/content?id=iMJcCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Routledge,2015-08-12,['History'],20
Blink: The Power of Thinking Without Thinking,"From the #1 bestselling author of The Bomber Mafia, the landmark book that has revolutionized the way we understand leadership and decision making. In his breakthrough bestseller The Tipping Point, Malcolm Gladwell redefined how we understand the world around us. Now, in Blink, he revolutionizes the way we understand the world within. Blink is a book about how we think without thinking, about choices that seem to be made in an instant--in the blink of an eye--that actually aren't as simple as they seem. Why are some people brilliant decision makers, while others are consistently inept? Why do some people follow their instincts and win, while others end up stumbling into error? How do our brains really work--in the office, in the classroom, in the kitchen, and in the bedroom? And why are the best decisions often those that are impossible to explain to others? In Blink we meet the psychologist who has learned to predict whether a marriage will last, based on a few minutes of observing a couple; the tennis coach who knows when a player will double-fault before the racket even makes contact with the ball; the antiquities experts who recognize a fake at a glance. Here, too, are great failures of ""blink"": the election of Warren Harding; ""New Coke""; and the shooting of Amadou Diallo by police. Blink reveals that great decision makers aren't those who process the most information or spend the most time deliberating, but those who have perfected the art of ""thin-slicing""--filtering the very few factors that matter from an overwhelming number of variables.",['Malcolm Gladwell'],http://books.google.com/books/content?id=VKGbb1hg8JAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Back Bay Books,2007-04-03,['Business & Economics'],16
Watchmen,"As former members of a disbanded group of superheroes called the Crimebusters start turning up dead, the remaining members of the group try to discover the identity of the murderer before they, too, are killed.",['Alan Moore'],http://books.google.com/books/content?id=ixfQngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Dc Comics,2014,['Comics & Graphic Novels'],10
The Watchmen,"As former members of a disbanded group of superheroes called the Crimebusters start turning up dead, the remaining members of the group try to discover the identity of the murderer before they, too, are killed.",['Alan Moore'],http://books.google.com/books/content?id=ixfQngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Dc Comics,2014,['Comics & Graphic Novels'],15
