Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,Price,review_count,avg_rating
Economics in one lesson,"With over a million copies sold, Economics in One Lesson is an essential guide to the basics of economic theory. A fundamental influence on modern libertarianism, Hazlitt defends capitalism and the free market from economic myths that persist to this day. Considered among the leading economic thinkers of the “Austrian School,�?which includes Carl Menger, Ludwig von Mises, Friedrich (F.A.) Hayek, and others, Henry Hazlitt (1894-1993), was a libertarian philosopher, an economist, and a journalist. He was the founding vice-president of the Foundation for Economic Education and an early editor of The Freeman magazine, an influential libertarian publication. Hazlitt wrote Economics in One Lesson, his seminal work, in 1946. Concise and instructive, it is also deceptively prescient and far-reaching in its efforts to dissemble economic fallacies that are so prevalent they have almost become a new orthodoxy. Economic commentators across the political spectrum have credited Hazlitt with foreseeing the collapse of the global economy which occurred more than 50 years after the initial publication of Economics in One Lesson. Hazlitt’s focus on non-governmental solutions, strong �?and strongly reasoned �?anti-deficit position, and general emphasis on free markets, economic liberty of individuals, and the dangers of government intervention make Economics in One Lesson every bit as relevant and valuable today as it has been since publication.",Henry Hazlitt,http://books.google.com/books/content?id=A50iBxwt7qMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=A50iBxwt7qMC&printsec=frontcover&dq=Economics+in+one+lesson&hl=&cd=1&source=gbs_api,Currency,2010/8/11,https://play.google.com/store/books/details?id=A50iBxwt7qMC&source=gbs_api,Business & Economics,18,29.99,13,3.38
The Scarlet Letter A Romance,No description available,Unknown author,,,Unknown publisher,Unknown date,,Uncategorized,0,26.99,5,4.2
The Dharma Bums,"THE DHARMA BUMS appeared just one year after the author's explosive ON THE ROAD had put the Beat Generation on the literary map and Kerouac on the best-seller list. The same expansiveness, humour and contagious zest for life that sparked the earlier novels sparks this one too, but through a more cohesive story. The books follow two young men engaged in a passionate search for dharma or truth. Their major adventure is the pursuit of the Zen way, which takes them climbing into the high sierras to seek the lesson of solitude. With an Introduction by Kerouac expert, Ann Douglas.",Jack Kerouac,http://books.google.com/books/content?id=hrJdIzWZWS4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=hrJdIzWZWS4C&dq=The+Dharma+Bums&hl=&cd=1&source=gbs_api,Penguin UK,2000,http://books.google.nl/books?id=hrJdIzWZWS4C&dq=The+Dharma+Bums&hl=&source=gbs_api,Fiction,0,13.99,9,4.67
Foundation,"Voor trainers is er gratis extra materiaal bij dit boek beschikbaar. Dit is te vinden onder het tabblad Training Material . Log in met uw trainersaccount om het materiaal te raadplegen. Over de serie I-TracksBinnen I-Tracks kan iedereen die zich (verder) wil scholen op het gebied van de ICT zijn eigen individuele leerrichting kiezen op basis van eerder verworven kennis en competenties. Binnen de diverse opleidingstrajecten komen zowel theoretische als praktische vaardigheden aan bod. Er kunnen diverse soorten opleidingstrajecten gekozen worden. Short Tracks om binnen een korte doorlooptijd binnen een specifiek gebied kennis op te doen zoals security- of projectmanagement. Daarnaast zijn er diverse functiegerichte opleidingen, zoals Systeembeheerder en Helpdesk medewerker, waarin op basis van de functieprofielen en competenties opleidingstrajecten zijn samengesteld. Deze trajecten worden CareerTracks genoemd.Als laatste zijn er Academy Tracks; een complete ICT-opleiding op HBO-niveau in de volgende richtingen: Service Management, Information Management en System Developer.Bij Van Haren Publishing wordt een serie (leer)boeken ontwikkeld die ieder de totale examenstof dekken voor één I-Tracks module. Daarnaast zijn andere uitgaven van Van Haren Publishing aangemerkt als (kern-)literatuur voor een I-Tracks module.",K. Louwman,http://books.google.com/books/content?id=GGNeAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=GGNeAgAAQBAJ&pg=PR2&dq=Foundation&hl=&cd=1&source=gbs_api,Van Haren,2012/1/1,http://books.google.nl/books?id=GGNeAgAAQBAJ&dq=Foundation&hl=&source=gbs_api,Education,0,14.99,9,4.11
Romeo and Juliet,No description available,William Shakespeare,http://books.google.com/books/content?id=6rhaAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=6rhaAAAAcAAJ&printsec=frontcover&dq=Romeo+and+Juliet&hl=&cd=1&source=gbs_api,Unknown publisher,1734,https://play.google.com/store/books/details?id=6rhaAAAAcAAJ&source=gbs_api,Uncategorized,0,22.56,7,5
The Clan of the Cave Bear,"An all-absorbing journey into man's possible past. Jean M. Auel, a storytelling genius, weaves a compellingly readable saga of human survival; an epic that transcends time and place. It is peopled with rich and complex characters who experience the full range of human emotions. All this makes for total involvement and believability in the light of today. A novel for all time. Copyright © Libri GmbH. All rights reserved.",Jean M. Auel,http://books.google.com/books/content?id=syQWIcXFlkkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=syQWIcXFlkkC&q=The+Clan+of+the+Cave+Bear&dq=The+Clan+of+the+Cave+Bear&hl=&cd=1&source=gbs_api,Unknown publisher,1981,http://books.google.nl/books?id=syQWIcXFlkkC&dq=The+Clan+of+the+Cave+Bear&hl=&source=gbs_api,American fiction,145,23.99,14,2.93
1984,"Nieuwspraak, Big Brother, het vocabulaire uit 1984 is in onze taal opgenomen en een eigen leven gaan leiden. De roman van George Orwell uit 1949 over de strijd van Winston Smith, ambtenaar op het ministerie van Waarheid, tegen de alles doordringende Partij, en zijn gedoemde liefde voor Julia heeft niets van zijn literarie zeggingskracht verloren. In Orwells steeds weer herdrukte anti-utopie verkeert de wereld in de wurggreep van een systeem dat is gegrondvest op de verbreiding van angst, haat en wreedheid, en dat iedere vorm van persoonlijke vrijheid en indiviualiteit uitsluit. 1984 is onverminderd geldig als benauwend nauwkeurig blauwdruk van elk dictatoriaal regime.",George Orwell,http://books.google.com/books/content?id=gTx1AAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=gTx1AAAAQBAJ&printsec=frontcover&dq=1984&hl=&cd=1&source=gbs_api,Singel Uitgeverijen,2013/5/16,https://play.google.com/store/books/details?id=gTx1AAAAQBAJ&source=gbs_api,Fiction,0,11.14,13,4.08
Fahrenheit 451,No description available,Ray Bradbury,http://books.google.com/books/content?id=yEuuoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=yEuuoAEACAAJ&dq=Fahrenheit+451&hl=&cd=1&source=gbs_api,Unknown publisher,2012,http://books.google.nl/books?id=yEuuoAEACAAJ&dq=Fahrenheit+451&hl=&source=gbs_api,Book burning,1,18.83,9,4.56
One Hundred Years of Solitude,The evolution and eventual decadence of a small South American town is mirrored in the family history of the Buendias.,Gabriel García Márquez,http://books.google.com/books/content?id=w0-zUL-87uAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=w0-zUL-87uAC&q=One+Hundred+Years+of+Solitude&dq=One+Hundred+Years+of+Solitude&hl=&cd=1&source=gbs_api,Everyman's Library,1995,http://books.google.nl/books?id=w0-zUL-87uAC&dq=One+Hundred+Years+of+Solitude&hl=&source=gbs_api,Fiction,261,13.99,25,3.64
Prey,"Tropical rainforests cover only about 6% of the earth's surface, yet they are home to more than half the world's species. This book looks at the biology and behaviour of predators and prey describing how they live together in harmony and balance and how vital they are to the wellbeing of the whole world. It is one of a series of books which aims to provide an understanding of the unique ecosystems of the rainforest. It describes the amazing plants and animals and how they interact, and addresses local and global environmental and conservation issues.",Michael Chinery,http://books.google.com/books/content?id=9-ccs-5g6gwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=9-ccs-5g6gwC&pg=PA25&dq=Prey&hl=&cd=1&source=gbs_api,Cherrytree Books,2000,http://books.google.nl/books?id=9-ccs-5g6gwC&dq=Prey&hl=&source=gbs_api,Predation (Biology),0,24.4,25,3.04
