Title,User_id,profileName,review/score,review/text
1 FOR THE MONEY,A3B9H5IHZKLBKY,"Mark Twain ""Gillian""",1.0,"In casual mysteries, I'm very unhappy to find gross profanity on each and every page. This is the first time that ever happened, and I'm about to give up. I bought this based on the Amazon reviews, which I now find were based on another book with the same title, but a different author. This one stinks! I wanted a mystery. If I'd wanted to just read profanity, I could type the words and just read that."
1 FOR THE MONEY,,,4.0,"Stephanie plum the number one bounty hunter! Janet did such a great job on, One for the Money. The excitment in this book was everlasting. It was a book you can't put down. One for the Money was a book I recomend to anyone that enjoys mystery books.Stephanie was such an exciting lady. She did the craziest things, for instance steeling Joe Morelli's car. She even bought a gun and pepper spray to protect her since many men were trying to attack her. Stephanie was a lady you would want to work for you. She stuck to her task and did not give up. She put her mind to finding Joe and found him. She was motivated to any job or task she got."
1 FOR THE MONEY,A1EVKGF2TNSI4,"Christina P. Branson ""Strixaluco""",3.0,"First off, this is not the Stephanie Plum novel of the same name. This is the series debut of Cat Caliban, a Cincinnati grandmother who decides to liven up her widowhood by becoming a private eye. To assert her independence, Cat purchases a small apartment complex in a questionable neighborhood and, in the process of signing on two new tenants, stumbles upon a corpse.The deceased is a homeless woman known only as Betty Bags, and while the authorities allow that it's odd for Betty to have been lured away from her home turf into Cat's vacant apartment to be stabbed with her own knife, they aren't all that motivated to give the matter their full attention. Cat is at once outraged by their callous dismissal of the woman's life and death and eager to get in some investigative practice, so she jumps right in. She enlists the aid of her three tenants, her cats, and a retarded youngster, and before long she is on the trail of Betty's killer.Cat quickly learns that Betty was no ordinary bag lady. She was once a silent film actress, so Cat finds herself tracing Betty's fall from stardom to her final days as an activist for homeless rights. It seems all sorts of people could have wanted Betty dead. Was it the lawyer who carried a torch for the Betty he remembered as his high school sweetheart? The sheik who plied starlet Betty with extravagant gifts? The daughter Betty gave up for adoption but included in her will? The real estate mogul trying to rid his vacant properties of activist Betty and her squatter friends? Or somebody else entirely? To confuse matters even more, Betty's best friend winds up dead as well, and Cat must determine what secret she died to protect.Cat's investigations are quite educational and entertaining, but I wish Cat didn't use such foul language all the time. It's not that I fear for my virgin ears, but Cat's constant cursing rings false, like Borton wasn't secure in Cat's uniqueness and felt a colorful vocabulary would add &quot;character.&quot; Cat and her allies are an enjoyable crew, though, and I trust Borton will develop their true characters as the series unfolds.(adapted from a &quot;Skullduggery&quot; review)"
1 FOR THE MONEY,,,5.0,"I've read this one and the next two in the series! I have actually laughed out loud and can't wait to finish the fourth. In this first of the series, you get to know the characters in addition to a good story. They get better and better. . . You won't be disappointed."
1 FOR THE MONEY,,,5.0,"Fresh and funny Cat Caliban makes her debut in this mystery. Cat's new career plan is to become a private investigator; after all, her years as a wife, mother, and homemaker have given her plenty of experience solving mysteries and digging out information. While she studies her trade, she purchases a small apartment complex, which comes furnished with a corpse. Cat's quest to find the killer is marked with humor, poignancy, and consciousness-raising moments. Cat is a truly enjoyable heroine. At last a senior citizen detective who is shown as having plenty of sass and spunk! The supporting characters are also endearing. Borton's cast is loveable and well-developed. I look forward to more."
"1,000 Places to See Before You Die: A Traveler's Life List",A1J24IGXG08MQF,Debbie Brown,4.0,Some interesting places. Worthwhile notes and descriptions of destinations. This book will help you organize your plans and map out excursions.
"1,000 Places to See Before You Die: A Traveler's Life List",ADERP6VV70NVO,"Christie B. Park ""momma1""",5.0,"This book because I read about and heard about it ...it did not disappoint ! First I checked to see if I had been to any of the places suggested...I had, but, only a few. Some I had heard of but, many I had never heard of and all sound intriguing and possible trips in the future. It is a book that can be returned and reviewed many times and passed down to children for their future trips...well worth the trip!"
"1,000 Places to See Before You Die: A Traveler's Life List",A2AH7JM67GZ3QA,Diva J,5.0,"Love this book. After visiting a place that is mentioned in it, I write the year and who I went there with."
"1,000 Places to See Before You Die: A Traveler's Life List",A1HPXFH84XJDT6,hortensia valdes-villada,1.0,In Osborne House the writer states that Pope Gregory I sent for St. Augustine to take care of the heathens. This was in A.D. 597.The St. Augustine of Hippo that I know about was born and died in Algeria A.D. 354-430. The furthest he traveled was to Rome before he was converted.I thought you may be confused with St. Patric but he died in A.D. 440.If you can be so kind and clarify this information before I continue with your book.SincerelyHortensia Valdes-Villada
"1,000 Places to See Before You Die: A Traveler's Life List",A1H54JAWJH2KXD,slb6,3.0,"Have only read about 1/3 of the book so far. It has some interesting places I've never heard of in the book, along with places everyone knows. However, I must say most of these places you can only visit if you're rich, as many cost a lot to get there or to stay there. Also, I would've liked it better if the photos were in color."
13 Little Blue Envelopes,A3Q0LKBELMOCFR,Lorraine,4.0,This book was interesting and what a great way to teach independence to someone you love and also for them to learn about you.
13 Little Blue Envelopes,AY3CTZF7YEQ8L,Hannah Southern,5.0,"I really enjoyed this book. It was very interesting and I always wondered what was coming next. I really fell in love with every single one of the characters. I recommend that anyone should read this book. I don't think age matters for who should read it content wise. However if the book is on your reading level, go for it."
13 Little Blue Envelopes,AIQADI7U4BM5V,"webcat ""webcat""",5.0,I loved this story. A teenage girl sees the world and has lots of new experiences as she follows her aunt's instructions through a series of little blue envelopes. It's well written and a fun read. Recommended for anyone who enjoys young adult fiction. Caution: This book may encourage your teenager to want to travel!
13 Little Blue Envelopes,AQFYGWUOGWBXY,Cassie,5.0,I wish that someone set up a trip for me to explore Europe like this. I am so envious of her. Great read and it'll keep you on the edge of your seat with each new letter.
13 Little Blue Envelopes,A30RTY0JPJMMEL,Tracy E. Boylan,4.0,This was a really well written book but the plot line is so unrealistic. What 17 year-old girl would really go on a journey like this?Other than that it was a very fun book. Ginny was a very intelligent and was a believable character. Keith was quite the gentlemen. Overall a good book
1560 Geneva Bible,A2UM1251LBYTVI,Robert,5.0,God sure comes up with some wonderful stuff.
1560 Geneva Bible,A54N247LB31,S. McIntyre,5.0,"To be short on words, yet provide useful content....this is a quality reproduction, and is a diamond among gems in my library."
1560 Geneva Bible,,,5.0,imagine this: someone laborously and painstakenly translates and handwrites the Bible. Imagine the detail and craftsmanship that went into that task. Imagine further the days and nights and time that passed before its product was finished. Look at the bigger picture and wonder about what the ramifications were for this project (both political and religious). Envision that this work was protected by both a stroke of luck and the blessing of fate to be preserved for several hundred years--every page intact--and delivered into the hands of time and technology to be reproduced via a high grade scanner (and other technological accomplices) so that its beauty could be mass produced and distributed at an economical rate....and so that other fools would have the audacity to rate it with a few stars (as IF they even knew what they were talking about).
1560 Geneva Bible,A3FMGD7SXKRH4C,rpbell@faithlight.org,3.0,"I wonder at my colleagues in their discussion about Shakespeare's use of the Geneva Bible. Is that really the issue, and (to refer to my friend's observation that he does not &quot;endorse&quot; this version) does it really matter whether we embrace, endorse or otherwise subscribe to either the translation or the accompanying notes? This is a venture of historical proportions, the value of which is gauged, not in terms of endorsement, but in the availability of such a significant piece of Biblical history (even if the publisher's price is about twice what it should be).For comparative purposes in drawing doctrinal conclusions, the Geneva Bible is of only cursory value (most of us wouldn't change a doctrinal position anyway; not even if Jesus Himself &quot;endorsed&quot; 1560. That is evident in that we have no intention of changing despite the revelational clarity of the hundreds of other translations. Why should 1560 be any different?).As a publishing feat, it is significant. As a tool for research, it is invaluable. As another example of the profound processes by which Divine Providence vouched safe His Word to posterity, it is nothing short of remarkable.Buy it if you can...but don't denigrate its place in the grand scheme of things."
1560 Geneva Bible,,,5.0,"This bible was good enough for the majority of America's founding forefathers, who despised the official government version of the bible commonly known as the King James 1611/1613 version. Our forefathers considered reading the 1611 version, commissioned by the pedo-sodomite King James I, a sinful act. The Geneva Bible of 80 Books with Calvinistic Notes was the most widely read version during the 16th and 17th centuries.I do agree that William Shakespeare (a.k.a., Edward de Vere, 17th Earl of Oxford) was most likely a (non-practicing) medieval pagan catholic by the time of his death. Monthly attendance by the Church of England was mandatory during this period and Shakespeare attended Sunday services rarely if at all. The majority of his works were published between 1590 and his retirement from theatre in 1610 prior to his death in 1616. So he could not have quoted from the official KJ-1611 government bible, except for the ""Tempest"" written from 1611-1612. William was an active promoter of the pedo-sodomite King James I. In 1603, Shakespeare's theatrical company was taken under the patronage of King James I, and became known as the King's Company Theatre. Without comparing the individual words and phrases I would guess that most of his biblical passages and quotes were taken from the Bishops Bible, with some passages from the Coverdale and Great Bible.The original Geneva Bible of 1560 is a little harder to read and understand, but I truly believe it is the most accurate English bible available."
1st to Die: A Novel,A10FH6B4ZJM0G7,"Mom ""Bank of Mom""",5.0,What a great bookon CD! Patterson does a wonderful job of combining the talents of the members of the Women's Murder Club and to integrate their professional and personal lives. A great book!
1st to Die: A Novel,A30BL2MW2HVSZY,sandor zavelo,5.0,This was on of his best and I was drawn to read them all. Reading is my favorite pass time.
1st to Die: A Novel,A3JPW519FRYWI7,cathie molitor,5.0,I loved the book not easy to figure out who did it. Can wait to read the next book. But I have so many books I want to read.
1st to Die: A Novel,AIBC7355TL35R,meme,4.0,I was skeptical of James Patterson's ability to portray a group of women's love and emotions along side their professional careers. I had only read his murder and mayhem books. Surprisingly he pulled it off quite well.
1st to Die: A Novel,A2B3YMSCSZG6FQ,Patricia Richardson,5.0,Just getting into reading James Patterson. If all his books are this good....I will most certainly continue reading his works.
2005 Novel & Short Story Writer's Market,A2D9C01IKDKF1U,M. R. Sheffield,5.0,"Provides the names and addresses every writer needs. Be sure to use the latest edition, however. There's nothing worse than sending a cold manuscript to a nonexistent editor."
